Analysis summary: Primary change in this round was to test 25% and 50% dropout in the 2nd convolutional layer. Result: Lack of convergence generally, high loss and low accuracy across the board, poor final results, though less severe overall than Dropout for conv1.


('Start:', datetime.datetime(2018, 7, 7, 20, 5, 50, 711030))
('Max, min MFCC rows across all instruments: ', 96, 12)
('Num instruments:', 5)
({'training_loss': 0.1927773953260233, 'training_acc': 0.9375, 'testdata_loss': 0.7517103950182596, 'testdata_acc': 0.8125, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.07603209727191522, 'training_acc': 0.96875, 'testdata_loss': 0.2293646720548471, 'testdata_acc': 0.9583333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.2430269547427694, 'training_acc': 0.9114583333333334, 'testdata_loss': 0.7476172496875128, 'testdata_acc': 0.7916666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.7815091609954834, 'training_acc': 0.609375, 'testdata_loss': 0.8173821965853373, 'testdata_acc': 0.6875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.062204303074395284, 'training_acc': 0.9895833333333334, 'testdata_loss': 0.37760824772218865, 'testdata_acc': 0.8958333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.013914229921889879, 'training_acc': 1.0, 'testdata_loss': 0.22378011047840118, 'testdata_acc': 0.9583333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.2990090320818126, 'training_acc': 0.90625, 'testdata_loss': 0.3028866599003474, 'testdata_acc': 0.8541666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.00040853771861293353, 'training_acc': 1.0, 'testdata_loss': 0.28433307260274887, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.45315924907724064, 'training_acc': 0.875, 'testdata_loss': 0.751363335798184, 'testdata_acc': 0.8333333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.029271856027965743, 'training_acc': 1.0, 'testdata_loss': 0.145920991897583, 'testdata_acc': 0.9583333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 9.821964422861734, 'training_acc': 0.390625, 'testdata_loss': 8.059047738711039, 'testdata_acc': 0.5, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.9529437869787216, 'training_acc': 0.5572916666666666, 'testdata_loss': 0.8761093219121298, 'testdata_acc': 0.6666666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.22119282527516285, 'training_acc': 0.9166666666666666, 'testdata_loss': 0.36446452389160794, 'testdata_acc': 0.875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 1.329640616973241, 'training_acc': 0.390625, 'testdata_loss': 1.2772770722707112, 'testdata_acc': 0.5, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.37109651199231547, 'training_acc': 0.84375, 'testdata_loss': 0.2908136695623398, 'testdata_acc': 0.8541666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 14.103333393732706, 'training_acc': 0.125, 'testdata_loss': 14.103333473205566, 'testdata_acc': 0.125, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 11.668829520543417, 'training_acc': 0.2760416666666667, 'testdata_loss': 12.760158856709799, 'testdata_acc': 0.20833333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.002874356641768827, 'training_acc': 1.0, 'testdata_loss': 0.24399173570175967, 'testdata_acc': 0.9791666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.015244453810737468, 'training_acc': 1.0, 'testdata_loss': 0.4025643769806872, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 0.044373260061547626, 'training_acc': 0.984375, 'testdata_loss': 0.2874467298388481, 'testdata_acc': 0.9375, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 9.821964462598165, 'training_acc': 0.390625, 'testdata_loss': 8.059047738711039, 'testdata_acc': 0.5, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 11.668829600016275, 'training_acc': 0.2760416666666667, 'testdata_loss': 12.760158856709799, 'testdata_acc': 0.20833333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
({'training_loss': 11.668829361597696, 'training_acc': 0.2760416666666667, 'testdata_loss': 12.760158856709799, 'testdata_acc': 0.20833333333333334, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48},)
('Result with min loss:', {'training_loss': 0.05442833016665342, 'training_acc': 0.984375, 'testdata_loss': 0.1250913937886556, 'testdata_acc': 0.9166666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.5, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48})
('Result with max accuracy:', {'training_loss': 0.002874356641768827, 'training_acc': 1.0, 'testdata_loss': 0.24399173570175967, 'testdata_acc': 0.9791666666666666, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0, 'conv2Dropout': 0.25, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 192, 'numTestSamples': 48})
('Started:', datetime.datetime(2018, 7, 7, 20, 5, 50, 711030), '; ended:', datetime.datetime(2018, 7, 7, 21, 16, 3, 888791))
('Elapsed:', datetime.timedelta(0, 4213, 177761))
