Analysis summary: Primary change in this round was to test 25% and 50% dropout in the 1st convolutional layer. Result: Lack of convergence generally, high loss and low accuracy across the board, poor final results. Dropout a failure for the conv1 layer.


('Start:', datetime.datetime(2018, 7, 7, 20, 3, 8, 506733))
('Max, min MFCC rows across all instruments: ', 96, 12)
('Num instruments:', 5)
({'training_loss': 0.12478509040287462, 'training_acc': 0.97, 'testdata_loss': 1.1728351789264706, 'testdata_acc': 0.825, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 1.3158357048034668, 'training_acc': 0.41, 'testdata_loss': 1.3324616193771361, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.03974800556534319, 'training_acc': 0.98, 'testdata_loss': 0.9665581956505775, 'testdata_acc': 0.8, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 14.183923759460448, 'training_acc': 0.12, 'testdata_loss': 13.700381088256837, 'testdata_acc': 0.15, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.0003710512791076326, 'training_acc': 1.0, 'testdata_loss': 0.9732223153114319, 'testdata_acc': 0.8, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 1.237259316444397, 'training_acc': 0.46, 'testdata_loss': 1.3467718601226806, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.000465629103127867, 'training_acc': 1.0, 'testdata_loss': 0.4667768716812134, 'testdata_acc': 0.875, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.7056797706743236, 'training_acc': 0.87, 'testdata_loss': 1.4332391977310182, 'testdata_acc': 0.625, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 9.509676399230957, 'training_acc': 0.41, 'testdata_loss': 9.267904710769653, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 11.766209678649902, 'training_acc': 0.27, 'testdata_loss': 12.491523933410644, 'testdata_acc': 0.225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 80, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.16233184098513448, 'training_acc': 0.975, 'testdata_loss': 1.949900996685028, 'testdata_acc': 0.775, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.8441380429267883, 'training_acc': 0.61, 'testdata_loss': 0.9042068004608155, 'testdata_acc': 0.575, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 9.50967628479004, 'training_acc': 0.41, 'testdata_loss': 9.267904710769653, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 1.3140491724014283, 'training_acc': 0.41, 'testdata_loss': 1.331543207168579, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 10, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 11.76620979309082, 'training_acc': 0.27, 'testdata_loss': 12.491523933410644, 'testdata_acc': 0.225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 1.3146317768096925, 'training_acc': 0.41, 'testdata_loss': 1.3323793888092041, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.00633342641114723, 'training_acc': 0.995, 'testdata_loss': 0.5103047132492066, 'testdata_acc': 0.825, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.039219440840097375, 'training_acc': 0.985, 'testdata_loss': 1.3503285884857177, 'testdata_acc': 0.825, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 40, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 9.509676399230957, 'training_acc': 0.41, 'testdata_loss': 9.267904710769653, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 9.509676361083985, 'training_acc': 0.41, 'testdata_loss': 9.267904710769653, 'testdata_acc': 0.425, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 80, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 0.050942726358771326, 'training_acc': 0.995, 'testdata_loss': 0.5108619228005409, 'testdata_acc': 0.925, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
({'training_loss': 11.766209678649902, 'training_acc': 0.27, 'testdata_loss': 12.491523933410644, 'testdata_acc': 0.225, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 160, 'conv1KernelSize': 5, 'numConv2Filters': 160, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40},)
('Result with min loss:', {'training_loss': 0.318535243794322, 'training_acc': 0.895, 'testdata_loss': 0.2262302316725254, 'testdata_acc': 0.925, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 20, 'conv1KernelSize': 5, 'numConv2Filters': 5, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.5, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40})
('Result with max accuracy:', {'training_loss': 0.009326372565701603, 'training_acc': 1.0, 'testdata_loss': 0.6693844020366668, 'testdata_acc': 0.925, 'batchSize': 16, 'epochs': 32, 'maxpoolsize': (2, 2), 'numConv1Filters': 5, 'conv1KernelSize': 5, 'numConv2Filters': 20, 'conv2KernelSize': 5, 'numFullyConnectedPerceptronsLastLayer': 20, 'conv1Dropout': 0.25, 'conv2Dropout': 0, 'fulyConnectedDropout': 0, 'numInstruments': 5, 'numTrainingSamples': 200, 'numTestSamples': 40})
('Started:', datetime.datetime(2018, 7, 7, 20, 3, 8, 506733), '; ended:', datetime.datetime(2018, 7, 7, 21, 17, 9, 697224))
('Elapsed:', datetime.timedelta(0, 4441, 190491))
